epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,471.368,1.30484,1.05254,1.28977,0.7578,0.56409,0.63132,0.3766,1.65029,1.3173,1.55606,0.000990365,0.000990365,0.000990365
43,482.642,1.27497,1.01405,1.26542,0.7451,0.56015,0.6139,0.37185,1.62036,1.36696,1.55749,0.000973861,0.000973861,0.000973861
44,493.417,1.26474,1.01361,1.26875,0.75436,0.57289,0.63893,0.38052,1.60895,1.2652,1.5274,0.000957358,0.000957358,0.000957358
45,504.337,1.28126,1.03744,1.2829,0.81528,0.5974,0.66955,0.3864,1.63187,1.27036,1.54417,0.000940855,0.000940855,0.000940855
46,515.285,1.22526,0.96548,1.25939,0.77431,0.61314,0.66871,0.39212,1.5818,1.20342,1.52031,0.000924352,0.000924352,0.000924352
47,526.406,1.24027,0.9587,1.25037,0.77361,0.58819,0.63702,0.37779,1.54764,1.23754,1.52676,0.000907848,0.000907848,0.000907848
48,537.056,1.2746,0.97304,1.25634,0.79975,0.61155,0.65727,0.39025,1.5755,1.24486,1.49778,0.000891345,0.000891345,0.000891345
49,548.047,1.23063,0.94039,1.23822,0.81711,0.58243,0.63328,0.36902,1.65117,1.26727,1.5587,0.000874842,0.000874842,0.000874842
50,558.706,1.22449,0.93816,1.2503,0.83526,0.57454,0.65009,0.38086,1.61623,1.26088,1.54707,0.000858338,0.000858338,0.000858338
51,569.767,1.22046,0.93051,1.23752,0.77188,0.60073,0.66142,0.38098,1.64691,1.20313,1.56022,0.000841835,0.000841835,0.000841835
52,580.796,1.209,0.91819,1.23723,0.79852,0.57251,0.63643,0.37499,1.62656,1.23998,1.55395,0.000825332,0.000825332,0.000825332
53,591.886,1.19577,0.89784,1.21285,0.75344,0.6187,0.66118,0.39948,1.60127,1.20765,1.51586,0.000808828,0.000808828,0.000808828
