epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36868,1.85166,3.76571,1.98496,0.00349,0.69056,0.09246,0.03944,1.96348,3.40804,2.10797,0.00013336,0.00013336,0.00013336
2,7.36297,1.54542,3.14207,1.65978,0.00423,0.83916,0.18135,0.08536,1.84684,3.12591,1.97404,0.000277779,0.000277779,0.000277779
3,8.84132,1.5819,2.52534,1.60624,0.00445,0.79779,0.3465,0.16015,1.85186,2.98097,1.92135,0.000416257,0.000416257,0.000416257
4,10.2951,1.4837,2.38863,1.57692,1,0.06682,0.33148,0.12776,2.01588,2.89317,1.9765,0.000548793,0.000548793,0.000548793
5,11.7659,1.4908,2.28589,1.55005,0.69865,0.25991,0.40322,0.18506,1.9256,2.66879,1.96439,0.000675388,0.000675388,0.000675388
6,13.2668,1.39744,2.19218,1.4646,0.57211,0.40443,0.3747,0.19591,1.82429,2.58367,1.92265,0.000796043,0.000796043,0.000796043
7,14.6601,1.44262,2.11114,1.53875,0.50467,0.43331,0.4183,0.21535,1.76386,2.70515,1.90414,0.000910755,0.000910755,0.000910755
8,16.3175,1.45183,2.15696,1.53136,0.67785,0.30877,0.36155,0.17536,1.8874,2.68599,2.0625,0.00101953,0.00101953,0.00101953
9,17.8023,1.48163,2.0455,1.54692,0.55835,0.50902,0.46616,0.21451,1.83274,2.57571,2.10082,0.00112236,0.00112236,0.00112236
10,19.2657,1.39683,1.97381,1.52115,0.62694,0.42075,0.43036,0.23028,1.75548,2.66223,2.05667,0.00121925,0.00121925,0.00121925
11,20.6448,1.43907,1.89677,1.47227,0.53778,0.43756,0.48315,0.25842,1.90425,2.3077,2.05041,0.0013102,0.0013102,0.0013102
12,22.0498,1.42199,1.87531,1.41603,0.343,0.33159,0.3134,0.13462,2.13995,3.77254,2.29741,0.00130393,0.00130393,0.00130393
