epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,479.313,1.36668,1.13589,1.39897,0.78452,0.57432,0.65583,0.35359,1.73949,1.32929,1.69059,0.008581,0.008581,0.008581
45,490.015,1.39485,1.15684,1.40507,0.75055,0.5843,0.64083,0.36065,1.66349,1.33214,1.63815,0.008548,0.008548,0.008548
46,500.605,1.32514,1.09018,1.36996,0.76158,0.5971,0.64189,0.35984,1.6958,1.39435,1.68925,0.008515,0.008515,0.008515
47,511.197,1.35271,1.10558,1.37686,0.71354,0.61078,0.65294,0.33987,1.70988,1.29313,1.71185,0.008482,0.008482,0.008482
48,521.81,1.36259,1.1342,1.38865,0.7637,0.57421,0.63079,0.34701,1.72077,1.324,1.72353,0.008449,0.008449,0.008449
49,532.405,1.31907,1.10183,1.35916,0.78152,0.57844,0.63002,0.34258,1.74538,1.35184,1.7026,0.008416,0.008416,0.008416
50,542.996,1.33853,1.08752,1.38423,0.79058,0.56699,0.64268,0.36278,1.66353,1.3553,1.66211,0.008383,0.008383,0.008383
51,553.662,1.34266,1.0921,1.37645,0.79784,0.58183,0.64632,0.36641,1.68206,1.34352,1.67157,0.00835,0.00835,0.00835
52,564.263,1.30456,1.05457,1.36797,0.77054,0.59222,0.65081,0.36311,1.69136,1.30485,1.66594,0.008317,0.008317,0.008317
53,575.581,1.32422,1.04578,1.3635,0.76589,0.56176,0.6078,0.33889,1.73779,1.35574,1.69786,0.008284,0.008284,0.008284
54,586.443,1.31889,1.01688,1.34873,0.72568,0.55074,0.60014,0.35435,1.71603,1.38293,1.69154,0.008251,0.008251,0.008251
55,597.153,1.28821,1.0212,1.33244,0.73246,0.57705,0.62791,0.35234,1.71866,1.36711,1.69278,0.008218,0.008218,0.008218
56,607.72,1.29111,1.00347,1.33421,0.86581,0.56629,0.64798,0.36139,1.69055,1.27053,1.66915,0.008185,0.008185,0.008185
57,618.602,1.28725,0.9943,1.33485,0.81044,0.56063,0.64104,0.35662,1.71628,1.29421,1.70671,0.008152,0.008152,0.008152
58,629.259,1.28566,0.99389,1.32494,0.82736,0.54382,0.65393,0.3597,1.71613,1.29157,1.68217,0.008119,0.008119,0.008119
59,639.843,1.28937,1.01877,1.33998,0.78519,0.59658,0.65366,0.34615,1.76882,1.34955,1.72079,0.008086,0.008086,0.008086
60,650.439,1.2882,0.97053,1.32493,0.75618,0.55545,0.62608,0.33909,1.76646,1.3253,1.75742,0.008053,0.008053,0.008053
61,661.168,1.29997,0.99447,1.3481,0.80584,0.53894,0.61574,0.34087,1.73866,1.3331,1.71659,0.00802,0.00802,0.00802
62,671.805,1.27398,0.9825,1.31964,0.76933,0.59984,0.6459,0.34995,1.77667,1.30934,1.74161,0.007987,0.007987,0.007987
63,682.311,1.25894,0.96499,1.31777,0.77003,0.60654,0.66693,0.36258,1.75739,1.26928,1.71344,0.007954,0.007954,0.007954
64,692.947,1.24697,0.95748,1.30046,0.80319,0.5778,0.64752,0.34619,1.7817,1.28737,1.75099,0.007921,0.007921,0.007921
65,703.471,1.24793,0.9447,1.30316,0.79794,0.59797,0.6439,0.35057,1.76587,1.28814,1.76845,0.007888,0.007888,0.007888
66,714.037,1.25291,0.97016,1.32049,0.76248,0.58688,0.63475,0.34764,1.74325,1.33569,1.74141,0.007855,0.007855,0.007855
67,724.636,1.24609,0.94597,1.30427,0.70745,0.59992,0.62235,0.33734,1.76741,1.33345,1.73145,0.007822,0.007822,0.007822
68,735.208,1.23898,0.93641,1.28837,0.82126,0.56673,0.63667,0.34436,1.78982,1.32338,1.77164,0.007789,0.007789,0.007789
69,745.694,1.25573,0.92662,1.31514,0.84639,0.5632,0.63815,0.35157,1.74115,1.34785,1.74932,0.007756,0.007756,0.007756
70,756.356,1.21524,0.91991,1.28591,0.81448,0.56606,0.63459,0.34753,1.71983,1.29075,1.75292,0.007723,0.007723,0.007723
71,766.901,1.24456,0.9544,1.30639,0.742,0.61124,0.64937,0.36573,1.73918,1.28912,1.74502,0.00769,0.00769,0.00769
72,777.814,1.21055,0.91646,1.2878,0.73911,0.60181,0.6357,0.35024,1.69125,1.4104,1.70949,0.007657,0.007657,0.007657
73,788.457,1.22132,0.89575,1.29673,0.81636,0.57734,0.6678,0.36026,1.7583,1.31175,1.7431,0.007624,0.007624,0.007624
74,798.966,1.20195,0.92347,1.28158,0.76675,0.55143,0.61791,0.33717,1.77481,1.33388,1.79525,0.007591,0.007591,0.007591
75,809.71,1.20028,0.89263,1.26178,0.73505,0.59664,0.62677,0.3377,1.78256,1.35081,1.78363,0.007558,0.007558,0.007558
76,820.251,1.20155,0.88753,1.26794,0.77761,0.59739,0.6533,0.36742,1.76588,1.2666,1.76135,0.007525,0.007525,0.007525
77,830.914,1.20352,0.87759,1.28046,0.77254,0.61095,0.65967,0.3545,1.74686,1.29472,1.80188,0.007492,0.007492,0.007492
78,841.74,1.20612,0.90399,1.28739,0.75347,0.60134,0.63267,0.36373,1.71527,1.2963,1.7108,0.007459,0.007459,0.007459
79,852.593,1.18513,0.87121,1.26421,0.86391,0.58012,0.66827,0.36948,1.72973,1.3116,1.74693,0.007426,0.007426,0.007426
80,863.2,1.18551,0.88359,1.26657,0.77302,0.58872,0.63638,0.35371,1.73791,1.32585,1.73406,0.007393,0.007393,0.007393
