epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,757.99,1.40116,1.1721,1.46163,0.76564,0.57842,0.65292,0.36422,1.71305,1.31433,1.71951,0.007162,0.007162,0.007162
45,773.892,1.39764,1.19152,1.46264,0.74131,0.60185,0.63667,0.35364,1.68073,1.39149,1.69202,0.007096,0.007096,0.007096
46,790.028,1.3658,1.15084,1.45199,0.81084,0.55857,0.64525,0.36148,1.68843,1.34981,1.72237,0.00703,0.00703,0.00703
47,807.091,1.38458,1.1826,1.46534,0.85451,0.54308,0.64045,0.3497,1.70826,1.338,1.74,0.006964,0.006964,0.006964
48,824.905,1.3662,1.12611,1.45448,0.80548,0.57687,0.65584,0.35835,1.71069,1.32968,1.739,0.006898,0.006898,0.006898
49,842.395,1.36955,1.13596,1.45356,0.71628,0.58719,0.62727,0.35353,1.66782,1.30598,1.68773,0.006832,0.006832,0.006832
50,859.711,1.36678,1.12671,1.46266,0.74434,0.56535,0.63347,0.33927,1.77442,1.35181,1.79881,0.006766,0.006766,0.006766
51,877.264,1.34709,1.13235,1.44484,0.7349,0.62727,0.66047,0.36716,1.6843,1.29602,1.72977,0.0067,0.0067,0.0067
52,894.086,1.31829,1.08549,1.41354,0.80579,0.58453,0.65255,0.35623,1.67615,1.3466,1.67431,0.006634,0.006634,0.006634
53,910.135,1.3244,1.10062,1.41174,0.74859,0.58566,0.63042,0.34067,1.70071,1.37059,1.73511,0.006568,0.006568,0.006568
54,926.215,1.33563,1.07725,1.43206,0.74352,0.61558,0.63572,0.34445,1.69399,1.32963,1.72483,0.006502,0.006502,0.006502
55,942.19,1.34185,1.09131,1.42117,0.75234,0.59678,0.6484,0.36542,1.63847,1.35231,1.6464,0.006436,0.006436,0.006436
56,958.391,1.30365,1.07194,1.3986,0.79111,0.59458,0.6538,0.36185,1.66275,1.32623,1.66319,0.00637,0.00637,0.00637
57,974.316,1.29252,1.05635,1.39628,0.77546,0.56786,0.64388,0.3603,1.68859,1.37242,1.69708,0.006304,0.006304,0.006304
